gender,age,category,platform,product_name,image_link,currency_symbol,price,delivery_tagline,delivery_days,average_rating,buy_link,ratings_total,product_id,last_updated_on,brands,categories,characters,tags,age_ai,genders_ai
girl,9,toys,amazon-in,"Liberty Imports Light up Princess Archery Bow and Arrow Toy Set with 3 Suction Cup Arrows, Target, and Quiver for Girls (Pink)",https://m.media-amazon.com/images/I/615+w-kFWHL._AC_UL320_.jpg,₹,4918,"Get it Saturday, 10 June - Wednesday, 14 June",22,4.4,https://www.amazon.in/Princess-Archery-Suction-Arrows-Target/dp/B01MV1MWZC/ref=sr_1_44?keywords=toys+9+year+girl&qid=1684823084&sr=8-44,3866,A-B01MV1MWZC,1684823207325,liberty imports,light up princess archery bow and arrow toy set,,"suction cup arrows, target, quiver, pink",,girls
girl,2,toys,amazon-in,"Playkidz My First Purse â€“ Pretend Play Princess Set for Girls with Handbag, Flip Phone, Light Up Remote with Keys, Play Lipstick & Kids Credit Card â€“ Great Educational Toy for Fun & Learning",https://m.media-amazon.com/images/I/71q3FDA-wuL._AC_UL400_.jpg,₹,4129,"Get it Saturday, 3 June - Wednesday, 7 June",15,4.7,https://www.amazon.in/Playkidz-Princess-Lipstick-Educational-Learning/dp/B01MXDKJOS/ref=sr_1_85?keywords=toys+2+year+girl&qid=1684819511&sr=8-85,8337,A-B01MXDKJOS,1684819690562,playkidz,"pretend play princess set, handbag, flip phone, light up remote, kids credit card",,"play lipstick, educational toy, fun learning",,girls
boy,"3,5,10",toys,amazon,"Matchbox Realistic Toy Truck for Recycling or Garbage 15"" Large Scale, Sound FX [Amazon Exclusive]",https://m.media-amazon.com/images/I/61Xy+LHuURL._AC_UL320_.jpg,$,34.99,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Matchbox-Garbage-Truck-Amazon-Exclusive/dp/B01MXU0DWF/ref=sr_1_271?keywords=toys+3+year+boy&qid=1675076240&sr=8-271,8982,A-B01MXU0DWF,1681899340803,matchbox,"realistic toy truck, recycling garbage",,"15 inches, sound fx, amazon exclusive",,
boy,8,toys,amazon,"Wild Republic Huggers Red Fox Plush, Slap Bracelet, Stuffed Animal, Kids Toys, 8 inches",https://m.media-amazon.com/images/I/51b+O-oel7L._AC_UL320_.jpg,$,10.99,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Wild-Republic-Huggers-Bracelet-Stuffed/dp/B01MYHBZ8N/ref=sr_1_149?keywords=toys+8+year+boy&qid=1681898718&sr=8-149,8405,A-B01MYHBZ8N,1681898793406,wild republic,"huggers plush, slap bracelet, stuffed animal",,"red fox, kids toys, 8 inches",,
"boy,girl","1,2,3,4",toys,amazon,Fat Brain Toys Wooden Personalized Name Puzzle - Flat Rate up to 9 Letters,https://m.media-amazon.com/images/I/61vWrwJwzJL._AC_UL320_.jpg,$,26.95,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Fat-Brain-Toys-Wooden-Personalized/dp/B01MYM7GPD/ref=sr_1_24?keywords=toys+1+year+boy&qid=1674127380&sr=8-24,5364,A-B01MYM7GPD,1684411916735,Fat Brain Toys,"Puzzles, Personalized Name Puzzles, Toys",,"name puzzles, wooden, flat rate, personalized, toys",3+ Years,Unisex
boy,4,toys,amazon,Drawing with Alphabet Learning Letters Tracing ABC Handwriting Toys Set Educational Game Birthday Gift for Preschool Activities Girl Boy 3-6 Years Old Kids,https://m.media-amazon.com/images/I/81+kSsfDUEL._AC_UL400_.jpg,$,19.99,Check Retailer site for delivery info,-1,4.7,https://www.amazon.com/MD-CREATIVE-Handwriting-Educational-Activities/dp/B01MYSOJYX/ref=sr_1_148?keywords=toys+4+year+boy&qid=1684409787&sr=8-148,630,A-B01MYSOJYX,1684409881037,,"Play Sets & Activity Toys, Drawing Toy Sets, Alphabet Learning, Writing & Drawing Toys, Educational Toys, Toys",,"alphabet learning, learning letters, tracing abc, handwriting toys, preschool activities, educational game, birthday gift",3-6 Years,"Unisex, Girls, Boys"
"boy,girl","3,5",toys,amazon,"Melissa & Doug Water Wow! - Water Reveal Pad Bundle - Animals, Alphabet, Numbers and More - Travel Toys, Party Favors, Stocking Stuffers, Mess Free Water Pen Coloring Books For Toddlers, Kids Ages 3+",https://m.media-amazon.com/images/I/91PuqIJ8+CL._AC_UL320_.jpg,$,27.49,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Melissa-Doug-Reusable-Activity-Refillable/dp/B01MYV4CLW/ref=sr_1_265?keywords=toys+3+year+boy&qid=1675076240&sr=8-265,9000,A-B01MYV4CLW,1681900577575,Melissa & Doug,"Puzzles, Drawing & Coloring Toy Sets, Water Reveal Pad, Toys",,"water wow, water reveal pad, animals, alphabet, numbers, travel toys, party favors, stocking stuffers, mess free, water pen coloring book",3+ Years,Unisex
girl,"8,10",toys,amazon,"GUND Pusheen Snackables Potato Chip Cat Plush Stuffed Animal, Gray, 9.5""",https://m.media-amazon.com/images/I/813LBSYBk2L._AC_UL320_.jpg,$,25.99,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/GUND-Pusheen-Snackables-Potato-Stuffed/dp/B01MZ1JNTA/ref=sr_1_58?keywords=toys+8+year+girl&qid=1674128008&sr=8-58,2021,A-B01MZ1JNTA,1684414029396,GUND,"Stuffed Animals & Plush Toys, Cats & Kittens, Plush Toys, Toys",Pusheen,"snackables, potato chip, cat, plush, stuffed animal, gray",3+ Years,Unisex
"girl,boy",6,toys,amazon,"Wild Republic Huggers, Snow Leopard Plush Toy, Slap Bracelet, Stuffed Animal, Kids Toys, 8 inches",https://m.media-amazon.com/images/I/61azQ05ghaL._AC_UL320_.jpg,$,10.99,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Wild-Republic-Huggers-Leopard-Bracelet/dp/B01MZXSA2I/ref=sr_1_262?keywords=toys+6+year+girl&qid=1674805891&sr=8-262,8046,A-B01MZXSA2I,1681900775674,Wild Republic,"Bracelets, Stuffed Animals & Plush Toys, Big Cats, Plush Toys, Toys",Snow Leopard,"huggers, slap bracelet, stuffed animal, kids toys",3+ Years,Unisex
"boy,girl",9,toys,amazon,"WILD REPUBLIC Huggers Bald Eagle Plush Toy, Slap Bracelet, Stuffed Animal, Kids Toys, 8""",https://m.media-amazon.com/images/I/71EI8rSQQkL._AC_UL320_.jpg,$,10.99,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Wild-Republic-Huggers-Bracelet-Stuffed/dp/B01N1A3BUH/ref=sr_1_206?keywords=toys+9+year+boy&qid=1674804980&sr=8-206,8046,A-B01N1A3BUH,1681901496497,wild republic,"plush toys, stuffed animals, slap bracelets",bald eagle,"kid's toys, stuffed animal, 8""","toddlers, young kids",neutral
"boy,girl","7,10",toys,amazon-in,eHomeKart Swing for Kids with Music - 3-in-1 Wave Adjustable Baby Swing Toy for Indoor and Outdoor - for Boys and Girls of Age 6 Months +,https://m.media-amazon.com/images/I/61UIkEhyKIL._AC_UL320_.jpg,₹,1376,"Get it by Saturday, 27 May",4,4.3,https://www.amazon.in/Ehomekart-Wave-Adjustable-Swing-Kids/dp/B01N1RUMPC/ref=sr_1_211?keywords=toys+7+year+boy&qid=1684816134&sr=8-211,961,A-B01N1RUMPC,1684823787643,ehomekart,"swing, baby swing, musical toys",,"kids swing, adjustable swing, musical swing, 6 months +","infants, toddlers",unisex
"boy,girl","2,5",toys,amazon-in,LEGO DUPLO Wild Animals of Africa 10971 Building Toy (10 Pieces),https://m.media-amazon.com/images/I/811-fkLpF1L._AC_UL400_.jpg,₹,1194,"Get it by Today, 23 May",0,4.8,https://www.amazon.in/LEGO-Wild-Animals-of-Africa/dp/B01N1S37YQ/ref=sr_1_57?keywords=toys+2+year+boy&qid=1684813859&sr=8-57,785,A-B01N1S37YQ,1684821246452,lego duplo,"building toys, wooden blocks",wild animals of africa,"building toy, 10 pieces, wild animals","preschoolers, young kids",neutral
"boy,girl",6,toys,amazon,"Jellycat Bashful Fox Cub Stuffed Animal, Medium, 12 inches",https://m.media-amazon.com/images/I/71OU4EMY2AL._AC_UL320_.jpg,$,25,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Jellycat-Bashful-Stuffed-Animal-Medium/dp/B01N22BMJB/ref=sr_1_109?keywords=toys+6+year+boy&qid=1674804703&sr=8-109,842,A-B01N22BMJB,1675078895164,jellycat,stuffed animals,bashful fox cub,"stuffed animal, 12 inches, fox cub","toddlers, young kids",neutral
"boy,girl",1,toys,amazon-in,Battat Pop Up Pals Toy (Orange),https://m.media-amazon.com/images/I/61xk7AMMIYL._AC_UL400_.jpg,₹,3546,"Get it Wednesday, 14 June - Thursday, 15 June",23,4.5,https://www.amazon.in/Battat-Pop-Up-Effect-Learning-Babies/dp/B01N25KELS/ref=sr_1_69?keywords=toys+1+year+boy&qid=1684813155&sr=8-69,14318,A-B01N25KELS,1684819022974,battat,"kids toy, interactive toys",pop up pals,"pop up toy, orange, interactive toy","preschoolers, young kids",neutral
girl,1,toys,amazon,"Le Toy Van - Petilou Wooden Educational Montessori Gears & Cogs 'Busy Bee Learning' Toy, Sensory Activity Toy For Toddlers Age 1 Year Old + Multi",https://m.media-amazon.com/images/I/81cSO+ADf3L._AC_UL320_.jpg,$,26.88,Check Retailer site for delivery info,-1,4.5,https://www.amazon.com/Toy-Van-Gears-Learning-Petilou/dp/B01N29ZDOO/ref=sr_1_292?keywords=toys+1+year+girl&qid=1684411622&sr=8-292,116,A-B01N29ZDOO,1684411753493,Le Toy Van,"toddler toys, educational toys, montessori toys, gears and cogs toys",Petilou,"sensory activity toy, learning toy",1 year old +,unisex
boy,4,toys,amazon,"Mary Meyer Putty Nursery Soft Toy, Lamb , 11 Inch (Pack of 1)",https://m.media-amazon.com/images/I/91RCsM6JfDL._AC_UL400_.jpg,$,18.94,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Mary-Meyer-Putty-Nursery-Soft/dp/B01N2RYL9I/ref=sr_1_42?keywords=toys+4+year+boy&qid=1680773638&sr=8-42,5080,A-B01N2RYL9I,1684409839572,Mary Meyer,"soft toys, nursery toys",Lamb,soft body play doll,0-2,unisex
boy,"2,5",toys,amazon-in,LEGO DUPLO My First Organic Garden 10984 Building Toy Set (43 Pieces),https://m.media-amazon.com/images/I/61eRb0I6EjL._AC_UL320_.jpg,₹,5499,"Get it by Today, 23 May",0,4.9,https://www.amazon.in/LEGO-Organic-Garden-10984-Building/dp/B01N2TP8AM/ref=sr_1_9?keywords=toys+2+year+boy&qid=1684813855&sr=8-9,164,A-B01N2TP8AM,1684815294641,LEGO,"building toys, organic garden toys",none,"educational toys, building set",2-5,unisex
"boy,girl","9,10",toys,amazon-in,"Smartivity Kaleidoscope STEM Educational DIY Fun Toys, Educational & Construction based Activity Game for Kids 6 to 14, Birthday Gifts for Boys & Girls, Learn Science Project, Made in India",https://m.media-amazon.com/images/I/91lkxOZ+ejL._AC_UL400_.jpg,₹,694,"Get it by Today, 23 May",0,4.1,https://www.amazon.in/Smartivity-Fantastic-kalaiedoscope-Educational-Construction/dp/B01N2UPTQI/ref=sr_1_194?keywords=toys+9+year+boy&qid=1684817269&sr=8-194,1849,A-B01N2UPTQI,1684823870629,Smartivity,"DIY toys, STEM toys",none,"educational toys, construction game",6-14,unisex
"boy,girl","2,3",toys,amazon-in,"JC Toys La Baby Boy Washable Soft Body Play Doll, Blue",https://m.media-amazon.com/images/I/71iNFqvAqAL._AC_UL320_.jpg,₹,3148,"Get it Tuesday, 13 June - Wednesday, 14 June",22,4.6,https://www.amazon.in/JC-Toys-Baby-Washable-Soft/dp/B01N36APG9/ref=sr_1_203?keywords=toys+2+year+boy&qid=1684813878&sr=8-203,1841,A-B01N36APG9,1684820203624,JC Toys,"soft toys, nursery toys",La Baby Boy,washable soft body play doll,0-2,male
"boy,girl","10,1",toys,amazon,PREXTEX Dinosaur 5pc Stuffed Animal Gift Set: Dinosaur Plush Toys for Kids 3-5 Includes Dinosaur Small Stuffed Animals with Zippered Volcano (Large - 15 Inches) Stuffed Animals for Boys & Girls,https://m.media-amazon.com/images/I/A1Dzum-YbQL._AC_UL320_.jpg,$,24.99,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Prextex-Dinosaur-Volcano-House-Dinosaurs/dp/B01N3UJ6CN/ref=sr_1_207?keywords=toys+10+year+boy&qid=1680775641&sr=8-207,3377,A-B01N3UJ6CN,1681899551819,prextex,"stuffed animals, plush toys, small stuffed animals",dinosaur,"dinosaur gift set, zippered volcano, boys & girls","3-5, 15 inches","boys, girls"
girl,10,toys,amazon,"Taggies Crinkle Me Baby Toy, Brother Puppy , 6.5x6.5 Inch (Pack of 1)",https://m.media-amazon.com/images/I/A1HEaIyKimL._AC_UL320_.jpg,$,10.9,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Taggies-Crinkle-Baby-Brother-Puppy/dp/B01N4C02KS/ref=sr_1_257?keywords=toys+10+year+girl&qid=1674806456&sr=8-257,2776,A-B01N4C02KS,1684414083867,taggies,crinkle me baby toy,brother puppy,pack of 1,6.5x6.5 inch,"boys, girls"
girl,8,toys,amazon,Fisher-Price Little People Musical Toddler Toy Helping Others Fire Truck With Lights Sounds & 2 Figures For Ages 1+ Years,https://m.media-amazon.com/images/I/61ExlVF8RRL._AC_UL400_.jpg,$,12.77,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Fisher-Price-Little-People-Helping-Others/dp/B01N4N0MLV/ref=sr_1_157?keywords=toys+8+year+girl&qid=1684413429&sr=8-157,20161,A-B01N4N0MLV,1684413528090,"fisher-price, little people",musical toddler toy,none,"lights sounds, 2 figures",1+ years,"boys, girls"
girl,10,toys,amazon-in,"Einstein Box Featuring Disney for 2-Year-Old Boys/Girls | Disney Gift Toys for 2-Year-Old Kids | Board Books and Fun Games | Learning and Educational Toys and Games | With Mickey Mouse, Simba, Winnie & Other Disney characters|",https://m.media-amazon.com/images/I/61aT8JV21iL._AC_UL320_.jpg,₹,699,"Get it by Today, 23 May",0,4.1,https://www.amazon.in/Einstein-Box-Learning-Educational-Multicolour/dp/B01N5234UL/ref=sr_1_257?keywords=toys+10+year+girl&qid=1684823663&sr=8-257,5341,A-B01N5234UL,1684823865859,"einstein box, disney",gift toys,"mickey mouse, simba, winnie","board books, fun games, learning, educational toys & games",2 year old,"boys, girls"
boy,1,toys,amazon,Einstein Box for 1 Year Old Boys/Girls | Gift Toys for 1 Year Old Kids | Board Books and Pretend Play Gift Pack | Learning and Educational Toys & Games (1 Box Set),https://m.media-amazon.com/images/I/61f5n6abKsL._AC_UL400_.jpg,$,29.99,Check Retailer site for delivery info,-1,4.6,https://www.amazon.com/Einstein-Box-Toddler-Learning-Educational/dp/B01N5267EI/ref=sr_1_136?keywords=toys+1+year+boy&qid=1684409083&sr=8-136,4531,A-B01N5267EI,1684409171027,einstein box,gift toys,none,"board books, pretend play gift pack, learning, educational toys & games",1 year old,"boys, girls"
boy,2,toys,amazon-in,Munchkin Fishin' Bath Toy,https://m.media-amazon.com/images/I/71p3KwtUkpL._AC_UL400_.jpg,₹,2331,"Get it Friday, 2 June - Tuesday, 6 June",14,4.7,https://www.amazon.in/Munchkin-17040-Fishin-Bath-Toy/dp/B01N52DUNK/ref=sr_1_79?keywords=toys+2+year+boy&qid=1684813859&sr=8-79,27746,A-B01N52DUNK,1684813998115,"munchkin, ","bath toys, ","fish, ","fishing,bath,toy, ","5+, ","boys,girls, "
boy,7,toys,amazon,"LEGO City Great Vehicles Horse Transporter 60327 Building Toy Set for Kids, Boys, and Girls Ages 5+ (196 Pieces)",https://m.media-amazon.com/images/I/813b3B79CJL._AC_UL320_.jpg,$,23.99,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/LEGO-6371133-Horse-Transporter/dp/B01N5BFRWB/ref=sr_1_301?keywords=toys+7+year+boy&qid=1675077035&sr=8-301,473,A-B01N5BFRWB,1675077170222,"lego,city, ","building toys,vehicles, ",,"great,horse,transporter,kids,boy,girl,196,pieces, ","5+, ","boys,girls, "
boy,8,toys,amazon,"Light Up Monster Trucks For Boys And Girls, Toy Truck Set, Monster Trucks For Boys 3 4 5 6 7 8 Years Old, Toddler Monster Truck Toys, Light Up Trucks, Easter Toys for Kids, Light Up Toys for Boys",https://m.media-amazon.com/images/I/81FjGnA4AzL._AC_UL400_.jpg,$,11.99,Check Retailer site for delivery info,-1,4.4,https://www.amazon.com/Light-Monster-Truck-Girls-ArtCreativity/dp/B01N5C39CX/ref=sr_1_303?keywords=toys+8+year+boy&qid=1684410810&sr=8-303,18485,A-B01N5C39CX,1684410932069,,"toy truck set,toddler, ","monster trucks, ","light up,easter,toys,toy,kids, ","3+,4+,5+,6+,7+,8+, ","boys,girls, "
"boy,girl",10,toys,amazon-in,"Shifu Boat Safari - AR Educational 4D Game for Toddlers, 20 Aquatic Animals Toy Gift for Kids Age 2+ (Blue)",https://m.media-amazon.com/images/I/61eRqtIQs5L._AC_UL400_.jpg,₹,269,"Get it by Friday, 26 May",3,4.1,https://www.amazon.in/Shifu-Boat-Safari-Educational-Toddlers/dp/B01N5OZAS2/ref=sr_1_279?keywords=toys+10+year+boy&qid=1684817730&sr=8-279,90,A-B01N5OZAS2,1684823905867,"shifu, ","educational toys,game toys,aquatic animals toys, ",,"boat,safari,4d,toddler,animal,toy,gift,blue, ","2+, ","boys,girls, "
"boy,girl","7,8,9,10",toys,amazon-in,"Smartivity Space Rocket STEM Toy, Educational & Construction based DIY Fun Activity Game for Kids 6 to 14, Birthday Gifts for Boys & Girls, Learn Science Engineering Project, Made in India by IIT Delhi Venture",https://m.media-amazon.com/images/I/81uUzERDsFL._AC_UL320_.jpg,₹,631,"Get it by Today, 23 May",0,4.2,https://www.amazon.in/Smartivity-Blast-Space-Rocket-Educational/dp/B01N6HH6EZ/ref=sr_1_284?keywords=toys+7+year+boy&qid=1684816138&sr=8-284,1245,A-B01N6HH6EZ,1684823835595,"smartivity, ","stem toys,construction toys, ","space rocket, ","educational,fun,activity,game,birthday,science,engineering,project,india,iit,delhi,venture, ","6+,14+, ","boys,girls, "
"boy,girl","3,4,5,1,2,9",toys,amazon,"Jellycat Bashful Lilac Bunny Stuffed Animal, Medium, 12 inches",https://m.media-amazon.com/images/I/91pqp9NPX0L._AC_UL320_.jpg,$,25,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Jellycat-Bashful-Stuffed-Animal-Medium/dp/B01N6QPVOS/ref=sr_1_163?keywords=toys+3+year+boy&qid=1674804457&sr=8-163,728,A-B01N6QPVOS,1681901469585,jellycat,stuffed animals,bashful lilac bunny,"medium, stuffed animal",12 inches,
boy,5,toys,amazon,Battat - Deluxe Kitchen - Pretend Play Accessory Toy Set (71 Pieces Including Pots & Pans),https://m.media-amazon.com/images/I/71m9fp6GsNL._AC_UL400_.jpg,$,19.99,Check Retailer site for delivery info,-1,4.8,https://www.amazon.com/Battat-Kitchen-Pretend-Accessory-Including/dp/B01N6U6C7F/ref=sr_1_271?keywords=toys+5+year+boy&qid=1681898046&sr=8-271,6189,A-B01N6U6C7F,1681898170774,battat,"deluxe kitchen, toy sets",,"pretend play, pots, pans",71 pieces,
"boy,girl","5,7,8",toys,amazon,"Wild Republic Huggers Blue Bat Plush, Slap Bracelet, Stuffed Animal, Kids Toys, 8 inches",https://m.media-amazon.com/images/I/4186spdWnpL._AC_UL320_.jpg,$,7.98,Check Retailer site for delivery info,-1,4.9,https://www.amazon.com/Wild-Republic-Huggers-Bracelet-Stuffed/dp/B01N703D7I/ref=sr_1_145?keywords=toys+5+year+boy&qid=1680773954&sr=8-145,937,A-B01N703D7I,1684413296102,wild republic,plush,huggers blue bat,"slap bracelet, stuffed animal, kids toys",8 inches,
"boy,girl","1,5",toys,amazon,Lewo Wooden Educational Toddler Toys for 3 4 5 Year Old Boys Girls Preschool Shape Color Recognition Sorting & Stacking Shapes Sorter Geometric Blocks for Kids,https://m.media-amazon.com/images/I/71SaM7NFjjL._AC_UL400_.jpg,$,9.99,Check Retailer site for delivery info,-1,4.6,https://www.amazon.com/Lewo-Toddler-Preschool-Geometric-Stacking/dp/B01N7FJ212/ref=sr_1_244?keywords=toys+1+year+boy&qid=1684409096&sr=8-244,1724,A-B01N7FJ212,1684412802503,lewo,wooden educational toys,,"boys, girls, preschool, shape, color, recognition, sort, stacking, shapes, sorter, geometric, blocks, kids",3-5 year old,
